                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7811,                  7.713,                0.69975,                 3.0444,                 3.0644,                0.05882,                    0.5,                0.07687,                0.00769,                      0,                      0,                      0,                      0,                 3.8226,                  9.261,                0.67928,                 5.0948,                  3.608,                      0,                      0,                      0
                      2,                 2.2144,                 8.1166,                0.71547,                 3.5983,                 2.4005,                0.05556,                    0.5,                0.07604,                 0.0076,                      0,                      0,                      0,                      0,                 3.8845,                 9.3259,                0.67943,                 5.1418,                 3.7191,              1.967e-05,              1.967e-05,              1.967e-05
                      3,                  2.493,                  7.951,                0.70533,                  2.737,                 2.8071,                0.05882,                    0.5,                0.07687,                0.00769,                      0,                      0,                      0,                      0,                 3.9132,                 9.6357,                 0.6795,                 5.0759,                 3.8369,              3.868e-05,              3.868e-05,              3.868e-05
                      4,                 2.4629,                 7.3193,                0.70512,                 3.0267,                 2.7698,                 0.0625,                    0.5,                0.08665,                0.01733,                      0,                      0,                      0,                      0,                 3.9014,                 9.7518,                0.67939,                 5.0695,                 3.8738,              5.703e-05,              5.703e-05,              5.703e-05
                      5,                 2.0738,                 7.4458,                0.69922,                 2.1111,                 2.4479,                0.07692,                    0.5,                0.06912,                0.00691,                      0,                      0,                      0,                      0,                 4.1199,                   9.83,                0.67957,                 4.6255,                 3.9768,              7.472e-05,              7.472e-05,              7.472e-05
                      6,                  1.774,                 9.1867,                0.69704,                 1.6248,                 2.0742,                 0.0625,                    0.5,                0.06544,                0.00654,                      0,                      0,                      0,                      0,                 4.0676,                 9.7373,                0.67938,                  4.226,                 3.5818,              9.175e-05,              9.175e-05,              9.175e-05
                      7,                 1.4164,                 7.6683,                 0.7167,                  1.466,                 1.9381,                0.07407,                      1,                0.17043,                0.01704,                      0,                      0,                      0,                      0,                 3.4865,                 9.0754,                0.67945,                 4.1855,                 2.9224,             0.00010812,             0.00010812,             0.00010812
                      8,                 1.2575,                 8.1309,                0.71127,                 1.2741,                  1.622,                0.04762,                      1,                0.18091,                0.06051,                      0,                      0,                      0,                      0,                 2.3375,                 8.6024,                0.68015,                 4.4572,                 1.8464,             0.00012383,             0.00012383,             0.00012383
                      9,                 1.1544,                 8.5251,                0.71923,                 1.1275,                 1.7278,                0.23957,                0.47914,                0.20708,                0.07102,                      0,                      0,                      0,                      0,                 1.7268,                 8.3796,                0.68012,                 4.4117,                 1.5777,             0.00013888,             0.00013888,             0.00013888
                     10,                 1.1379,                 8.0832,                0.72459,                0.97129,                 1.7568,                0.18349,                    0.5,                0.18991,                0.06015,                      0,                      0,                      0,                      0,                 1.5198,                 8.5497,                0.68108,                 4.2729,                  1.572,             0.00015327,             0.00015327,             0.00015327
                     11,                 1.1041,                 8.2169,                0.72558,                 1.1549,                 1.5541,                 0.1806,                    0.5,                0.12841,                0.05449,                      0,                      0,                      0,                      0,                 1.3526,                 8.4473,                0.68367,                 4.3258,                  1.555,               0.000167,               0.000167,               0.000167
                     12,                 1.1173,                 7.5929,                 0.7108,                0.90643,                 1.5867,                0.23325,                    0.5,                0.15316,                0.07186,                      0,                      0,                      0,                      0,                 1.3224,                 8.4543,                0.68605,                 4.6106,                 1.5567,             0.00018007,             0.00018007,             0.00018007
